,budget,imdb_id,revenue,Actors,Country,Director,Genre,IMDB Rating,IMDB Votes,Language,Production,Rated,Released,Runtime,Title,Year,imdbID
0,200000000,tt0383574,1065659812,"Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport",USA,Gore Verbinski,"Action, Adventure, Fantasy",7.3,"570,732","English, Turkish, Greek, Mandarin, French",Buena Vista,PG-13,07 Jul 2006,151 min,Pirates of the Caribbean: Dead Man's Chest,2006,tt0383574
1,150000000,tt0381061,599045960,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench","UK, Czech Republic, USA, Germany, Bahamas, Italy",Martin Campbell,"Action, Adventure, Thriller",8.0,"506,685","English, French",Sony,PG-13,17 Nov 2006,144 min,Casino Royale,2006,tt0381061
2,120000000,tt0317219,461983149,"Owen Wilson, Paul Newman, Bonnie Hunt, Larry the Cable Guy",USA,"John Lasseter, Joe Ranft(co-director)","Animation, Comedy, Family",7.1,"294,294","English, Italian, Japanese, Yiddish",Buena Vista,G,09 Jun 2006,117 min,Cars,2006,tt0317219
3,90000000,tt0407887,289847354,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg","USA, Hong Kong",Martin Scorsese,"Crime, Drama, Thriller",8.5,"973,137","English, Cantonese",Warner Bros. Pictures,R,06 Oct 2006,151 min,The Departed,2006,tt0407887
4,40000000,tt0482571,109676311,"Hugh Jackman, Christian Bale, Michael Caine, Piper Perabo","USA, UK",Christopher Nolan,"Drama, Mystery, Sci-Fi",8.5,"951,885",English,Buena Vista Pictures,PG-13,20 Oct 2006,130 min,The Prestige,2006,tt0482571
5,80000000,tt0438097,660940780,"Ray Romano, John Leguizamo, Denis Leary, Seann William Scott",USA,Carlos Saldanha,"Animation, Action, Adventure",6.8,"213,930",English,20th Century Fox,PG,31 Mar 2006,91 min,Ice Age: The Meltdown,2006,tt0438097
6,10000000,tt0489270,163876815,"Tobin Bell, Shawnee Smith, Angus Macfadyen, Bahar Soomekh","USA, Canada",Darren Lynn Bousman,Horror,6.2,"154,539",English,Lionsgate Films,R,27 Oct 2006,108 min,Saw III,2006,tt0489270
7,55000000,tt0454921,307077295,"Will Smith, Jaden Smith, Thandie Newton, Brian Howe",USA,Gabriele Muccino,"Biography, Drama",8.0,"372,530","English, Cantonese",Sony Pictures,PG-13,15 Dec 2006,117 min,The Pursuit of Happyness,2006,tt0454921
8,50000000,tt0401855,111340801,"Kate Beckinsale, Scott Speedman, Tony Curran, Derek Jacobi","USA, Canada, Hungary",Len Wiseman,"Action, Adventure, Fantasy",6.7,"170,850","English, French, Hungarian",Sony/Screen Gems,R,20 Jan 2006,106 min,Underworld: Evolution,2006,tt0401855
9,75000000,tt0453467,180557550,"Denzel Washington, Paula Patton, Val Kilmer, Jim Caviezel","USA, UK",Tony Scott,"Action, Crime, Sci-Fi",7.0,"259,400",English,Buena Vista,PG-13,22 Nov 2006,126 min,Deja Vu,2006,tt0453467
10,110000000,tt0477347,574480841,"Ben Stiller, Carla Gugino, Dick Van Dyke, Mickey Rooney","USA, UK",Shawn Levy,"Adventure, Comedy, Family",6.4,"260,038","English, Italian, Hebrew",20th Century Fox,PG,22 Dec 2006,108 min,Night at the Museum,2006,tt0477347
11,150000000,tt0317919,397850012,"Tom Cruise, Philip Seymour Hoffman, Ving Rhames, Billy Crudup","USA, Germany, China, Italy",J.J. Abrams,"Action, Adventure, Thriller",6.9,"277,652","English, Italian, Mandarin, Cantonese, German, Czech",Paramount Pictures,PG-13,05 May 2006,126 min,Mission: Impossible III,2006,tt0317919
12,125000000,tt0382625,767820459,"Tom Hanks, Audrey Tautou, Ian McKellen, Jean Reno","USA, Malta, France, UK",Ron Howard,"Mystery, Thriller",6.6,"347,239","English, French, Latin, Spanish",Sony Pictures,PG-13,19 May 2006,149 min,The Da Vinci Code,2006,tt0382625
13,35000000,tt0458352,326551094,"Meryl Streep, Anne Hathaway, Emily Blunt, Stanley Tucci","USA, France",David Frankel,"Comedy, Drama",6.8,"310,101","English, French",20th Century Fox,PG-13,30 Jun 2006,109 min,The Devil Wears Prada,2006,tt0458352
14,270000000,tt0348150,391081192,"Brandon Routh, Kate Bosworth, Kevin Spacey, James Marsden",USA,Bryan Singer,"Action, Adventure, Sci-Fi",6.1,"250,161","English, German, French",Warner Bros. Pictures,PG-13,28 Jun 2006,154 min,Superman Returns,2006,tt0348150
15,80000000,tt0327084,343397247,"Bruce Willis, Garry Shandling, Steve Carell, Wanda Sykes",USA,"Tim Johnson, Karey Kirkpatrick","Animation, Adventure, Comedy",6.7,"137,369",English,Dreamworks,PG,19 May 2006,83 min,Over the Hedge,2006,tt0327084
16,45000000,tt0454848,184376254,"Denzel Washington, Clive Owen, Jodie Foster, Christopher Plummer",USA,Spike Lee,"Crime, Drama, Mystery",7.6,"292,325","English, Albanian, Spanish",Universal Pictures,R,24 Mar 2006,129 min,Inside Man,2006,tt0454848
17,40000000,tt0472043,120175290,"Rudy Youngblood, Dalia Hernández, Jonathan Brewer, Morris Birdyellowhead",USA,Mel Gibson,"Action, Adventure, Drama",7.8,"253,635",Maya,Buena Vista,R,08 Dec 2006,139 min,Apocalypto,2006,tt0472043
18,12000000,tt0462590,114194847,"Channing Tatum, Jenna Dewan Tatum, Damaine Radcliff, De'Shawn Washington",USA,Anne Fletcher,"Crime, Drama, Music",6.5,"98,225",English,Buena Vista,PG-13,11 Aug 2006,104 min,Step Up,2006,tt0462590
19,65000000,tt0416449,422610419,"Gerard Butler, Lena Headey, Dominic West, David Wenham",USA,Zack Snyder,"Action, Fantasy",7.7,"652,569",English,Warner Bros. Pictures,R,09 Mar 2007,117 min,300,2006,tt0416449
